Time,MPD,LN-MPD
2014-8-16 14:30,818,6.706862337
2014-8-16 18:30,666,6.501289671
2014-8-16 22:30,649,6.475432717
2014-8-17 2:30,741,6.608000625
2014-8-17 6:30,1006,6.913737351
2014-8-17 10:30,994,6.901737207
2014-8-17 14:30,906,6.809039306
2014-8-17 18:30,904,6.80682936
2014-8-17 22:30,796,6.679599186
2014-8-18 2:30,622,6.432940093
2014-8-18 6:30,671,6.508769137
2014-8-18 10:30,821,6.710523109
2014-8-18 14:30,833,6.725033642
2014-8-18 18:30,849,6.744059186
2014-8-18 22:30,641,6.463029457
2014-8-19 2:30,668,6.504288174
2014-8-19 6:30,668,6.504288174
2014-8-19 10:30,554,6.317164687
2014-8-19 14:30,576,6.356107661
2014-8-19 18:30,551,6.311734809
2014-8-19 22:30,503,6.22059017
2014-8-20 2:30,382,5.945420609
2014-8-20 6:30,317,5.758901774
2014-8-20 10:30,249,5.517452896
2014-9-4 14:30,205,5.323009979
2014-9-4 16:30,394,5.976350909
2014-9-4 18:30,597,6.391917113
2014-9-4 20:30,863,6.760414691
2014-9-4 22:30,902,6.80461452
2014-9-5 0:30,738,6.603943825
2014-9-5 2:30,614,6.419994928
2014-9-5 6:30,495,6.204557763
2014-9-5 10:30,543,6.29710932
2014-9-5 12:30,296,5.690359454
2014-9-5 14:30,241,5.484796933
2014-9-5 18:30,315,5.752572639
2014-9-5 22:30,403,5.998936562
2014-9-6 2:30,1096,6.999422468
2014-9-6 6:30,941,6.84694314
2014-9-6 10:30,794,6.677083461
2014-9-14 10:30,566,6.338594078
2014-9-14 14:30,640,6.461468176
2014-9-14 18:30,656,6.486160789
2014-9-14 22:30,749,6.618738984
2014-9-15 2:30,804,6.689599269
2014-9-15 6:30,809,6.695798917
2014-9-15 10:30,969,6.876264612
2014-9-15 14:30,1350,7.207859871
2014-9-15 18:30,1162,7.057897937
2014-9-15 22:30,957,6.863803391
2014-9-16 2:30,860,6.756932389
2014-9-16 6:30,973,6.880384082
2014-9-16 10:30,829,6.720220155
2014-9-16 14:30,1053,6.959398512
2014-9-16 18:30,1089,6.993015123
2014-9-16 22:30,841,6.73459166
2014-9-17 2:30,699,6.549650742
2014-9-17 6:30,849,6.744059186
2014-9-17 10:30,850,6.745236349
2014-9-17 14:30,768,6.643789733
2014-9-17 18:30,879,6.778784898
2014-9-17 22:30,962,6.869014451
2014-9-18 2:30,603,6.401917197
2014-9-18 6:30,670,6.507277712
2014-9-18 10:30,707,6.561030666
2014-9-18 14:30,660,6.492239835
2014-9-18 18:30,828,6.719013154
2014-9-18 22:30,868,6.766191715
2014-9-19 2:30,1005,6.91274282
2014-9-19 6:30,936,6.841615476
2014-9-19 10:30,1068,6.97354302
2014-9-19 14:30,1179,7.072421901
2014-9-19 18:30,1060,6.966024187
2014-9-19 22:30,833,6.725033642
2014-9-20 2:30,677,6.517671273
2014-9-20 6:30,752,6.622736324
2014-9-20 10:30,849,6.744059186
2014-9-20 14:30,966,6.873163834
2014-9-20 18:30,1035,6.942156706
2014-9-20 22:30,918,6.822197391
2014-9-21 2:30,918,6.822197391
2014-9-21 6:30,790,6.672032945
2014-9-21 10:30,830,6.721425701
2014-9-21 14:30,777,6.65544035
2014-9-21 18:30,706,6.559615237
2014-9-21 22:30,586,6.37331979
2014-9-22 2:30,409,6.013715156
2014-9-22 6:30,513,6.240275845
2014-9-22 10:30,576,6.356107661
2014-9-22 14:30,882,6.782192056
2014-9-22 18:30,823,6.712956201
